symbol,effective_from,effective_to,weight,source
FTNT,2021-03-31,2099-12-31,.278395252757,SEC-NPORT-2021q2
FTNT,2021-06-30,2099-12-31,.323198886568,SEC-NPORT-2021q3
FTNT,2021-09-30,2099-12-31,.391361238265,SEC-NPORT-2021q4
FTNT,2021-12-31,2099-12-31,.429614939109,SEC-NPORT-2022q1
FTNT,2022-03-31,2099-12-31,.454584989558,SEC-NPORT-2022q2
FTNT,2022-06-30,2099-12-31,.442202717209,SEC-NPORT-2022q3
FTNT,2022-09-30,2099-12-31,.419789223015,SEC-NPORT-2022q4
FTNT,2022-12-31,2099-12-31,.389841989034,SEC-NPORT-2023q1
FTNT,2023-03-31,2099-12-31,.567383928064,SEC-NPORT-2023q2
FTNT,2023-06-30,2099-12-31,.594220548346,SEC-NPORT-2023q3
FTNT,2023-09-30,2099-12-31,.479563660956,SEC-NPORT-2023q4
GENVR,2022-12-31,2099-12-31,.152772486578,SEC-NPORT-2023q1
GENVR,2023-03-31,2099-12-31,.128517533874,SEC-NPORT-2023q2
GENVR,2023-06-30,2099-12-31,.127277366574,SEC-NPORT-2023q3
GENVR,2023-09-30,2099-12-31,.124732348259,SEC-NPORT-2023q4
GPN,2019-09-30,2099-12-31,.878446850841,SEC-NPORT-2019q4
GPN,2019-12-31,2099-12-31,.881928226939,SEC-NPORT-2020q1
GPN,2020-03-31,2099-12-31,.792940502918,SEC-NPORT-2020q2
GPN,2020-06-30,2099-12-31,.719457205592,SEC-NPORT-2020q3
GPN,2020-09-30,2099-12-31,.676378558657,SEC-NPORT-2020q4
GPN,2020-12-31,2099-12-31,.736642795021,SEC-NPORT-2021q1
GPN,2021-03-31,2099-12-31,.663376817921,SEC-NPORT-2021q2
GPN,2021-06-30,2099-12-31,.554004261865,SEC-NPORT-2021q3
GPN,2021-09-30,2099-12-31,.457559238966,SEC-NPORT-2021q4
GPN,2021-12-31,2099-12-31,.34550240226,SEC-NPORT-2022q1
GPN,2022-03-31,2099-12-31,.381901565007,SEC-NPORT-2022q2
GPN,2022-06-30,2099-12-31,.365438480277,SEC-NPORT-2022q3
GPN,2022-09-30,2099-12-31,.390974324035,SEC-NPORT-2022q4
GPN,2022-12-31,2099-12-31,.330270876124,SEC-NPORT-2023q1
HPE-PC,2019-09-30,2099-12-31,.364694233432,SEC-NPORT-2019q4
HPE-PC,2019-12-31,2099-12-31,.329869905554,SEC-NPORT-2020q1
